Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
6,2024-12-02 10:42:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:42:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:43:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
0,2024-12-02 10:43:00,64.311408,49718,378,18109,926608.0,2098,5575,NEDJMA,OFF-NET,Basic & Feature Phone,2G
6,2024-12-02 10:43:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:44:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:44:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:44:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
7,2024-12-02 10:44:00,2.0,1073,593,24395,931347.0,10309,35,INTERNATIONAL,INTERNATIONAL,Smartphone,4G
6,2024-12-02 10:44:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:44:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:44:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:44:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
7,2024-12-02 10:45:00,2.0,26404,193,24396,840316.0,206,5489,OTA-SHORT,OTA-SHORT,Smartphone,3G
6,2024-12-02 10:45:00,2.0,17778,699,24394,928971.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:45:00,2.0,17778,699,24394,928971.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:46:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,17778,699,24394,928971.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:46:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:47:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
